village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Dibrugarh Rural,Assam,2023-06-13,WS_36996,Pond,28.232886,92.813496,4.59,67.3,652.0,1009.0,2.7,91.8,6.47,0.47,1.9,0.23,0.034,Water Testing Kit,Agency_9,0,High,
Naharlagun Village,Arunachal Pradesh,2023-06-14,WS_87635,Well,25.578955,89.902323,6.3,79.5,204.0,2796.0,2.9,196.0,19.33,1.31,1.1,1.29,0.045,Lab Analysis,Agency_7,0,High,66.0
Shillong Rural,Meghalaya,2023-06-14,WS_89223,Pond,28.975261,91.514307,5.85,61.5,599.0,4377.0,1.9,59.6,5.31,1.85,0.9,0.43,0.006,Water Testing Kit,Agency_8,0,High,
Dibrugarh Rural,Assam,2023-06-14,WS_19319,Tube Well,27.714422,91.45469,6.72,4.9,32.0,69.0,5.3,31.4,1.81,0.043,1.77,1.1,0.03,IoT Sensor,Agency_4,1,Safe,159.0
Tawang Rural,Arunachal Pradesh,2023-06-14,WS_74806,Piped Supply,27.101028,92.599218,7.69,0.6,39.0,79.0,5.4,33.3,1.51,0.001,0.73,0.5,0.036,Water Testing Kit,Agency_1,1,Safe,
Resubelpara Rural,Meghalaya,2023-06-14,WS_38871,Well,28.060646,90.042482,4.64,73.1,697.0,297.0,2.0,174.8,9.95,1.3,1.02,0.98,0.003,Water Testing Kit,Agency_9,0,High,151.0
Aizawl Rural,Mizoram,2023-06-14,WS_97071,Piped Supply,27.50515,91.033059,7.58,7.7,12.0,95.0,7.7,24.3,2.95,0.017,0.21,0.97,0.011,IoT Sensor,Agency_9,1,Safe,
Rangpo Rural,Sikkim,2023-06-14,WS_13653,Tube Well,26.228136,95.175971,7.25,4.0,25.0,38.0,5.7,44.7,2.25,0.008,1.84,0.2,0.042,IoT Sensor,Agency_1,1,Safe,167.0
Rangpo Rural,Sikkim,2023-06-15,WS_88950,Well,23.717149,89.216213,4.62,17.8,377.0,4407.0,1.9,122.0,14.74,1.99,0.06,0.37,0.025,IoT Sensor,Agency_8,0,High,154.0
Williamnagar Village,Meghalaya,2023-06-15,WS_97851,Tube Well,23.027473,89.655614,7.19,2.1,12.0,32.0,9.0,16.2,1.57,0.014,1.26,0.35,0.041,IoT Sensor,Agency_5,1,Safe,182.0
Karimganj Village,Assam,2023-06-15,WS_57685,Tube Well,28.21167,92.726094,7.85,6.8,12.0,89.0,8.4,2.7,1.41,0.006,1.37,0.26,0.041,Lab Analysis,Agency_1,1,Safe,166.0
Kailashahar Village,Tripura,2023-06-15,WS_24732,River,25.040074,94.739219,8.13,1.8,44.0,20.0,8.7,3.7,2.84,0.004,1.5,0.25,0.024,IoT Sensor,Agency_5,1,Safe,
Tura Village,Meghalaya,2023-06-15,WS_62870,Well,23.031215,90.723791,5.9,22.4,961.0,1592.0,2.2,175.3,24.58,0.44,1.17,0.42,0.034,IoT Sensor,Agency_3,0,High,25.0
Jorhat Village,Assam,2023-06-15,WS_52594,Piped Supply,26.274542,95.393843,7.82,0.5,40.0,21.0,7.5,29.1,2.41,0.025,0.41,1.27,0.018,IoT Sensor,Agency_9,1,Safe,
Champhai Rural,Mizoram,2023-06-15,WS_19884,Piped Supply,24.554735,96.222328,7.62,5.0,35.0,69.0,7.9,38.2,0.66,0.011,0.99,1.15,0.002,Lab Analysis,Agency_9,1,Safe,
Zunheboto Village,Nagaland,2023-06-16,WS_13262,Well,23.320339,93.558177,5.48,87.8,1984.0,1736.0,1.1,79.3,22.54,0.99,0.87,0.74,0.047,Lab Analysis,Agency_7,0,High,160.0
Roing Village,Arunachal Pradesh,2023-06-16,WS_27402,Piped Supply,23.720247,95.92546,5.41,64.9,315.0,1651.0,3.2,77.6,7.57,0.67,0.11,0.55,0.011,Lab Analysis,Agency_3,0,High,
Gyalshing Rural,Sikkim,2023-06-16,WS_61955,Piped Supply,25.995092,92.055518,7.56,2.3,18.0,73.0,7.9,1.3,2.83,0.013,1.84,0.31,0.031,Lab Analysis,Agency_4,1,Safe,
Champhai Rural,Mizoram,2023-06-16,WS_85788,Pond,25.510989,88.643942,4.5,95.9,970.0,3739.0,3.6,66.8,10.25,1.05,0.04,0.9,0.031,IoT Sensor,Agency_3,0,High,
Guwahati Rural,Assam,2023-06-16,WS_48297,Well,24.624393,96.627739,5.18,74.9,896.0,2950.0,1.9,158.9,5.94,1.98,0.04,0.57,0.005,Water Testing Kit,Agency_8,0,High,25.0
Senapati Rural,Manipur,2023-06-16,WS_83741,Well,24.594924,93.277132,6.62,5.0,12.0,18.0,6.4,28.8,1.73,0.034,0.57,0.84,0.041,Lab Analysis,Agency_9,1,Safe,129.0
Ziro Village,Arunachal Pradesh,2023-06-16,WS_14191,Pond,25.415605,95.921706,5.86,66.4,323.0,4627.0,3.1,136.9,7.88,0.36,1.72,0.43,0.027,IoT Sensor,Agency_6,0,High,
Mokokchung Rural,Nagaland,2023-06-17,WS_68028,River,25.808965,93.951473,6.2,66.9,1249.0,2068.0,3.1,175.0,14.9,1.14,1.86,0.21,0.026,IoT Sensor,Agency_1,0,High,
Jiribam Village,Manipur,2023-06-17,WS_59021,Pond,28.493028,96.681018,5.12,27.8,1123.0,2703.0,3.1,200.0,17.96,0.7,1.96,1.17,0.009,Lab Analysis,Agency_6,0,High,
Zunheboto Village,Nagaland,2023-06-17,WS_43148,Well,23.028906,95.522309,4.61,58.9,631.0,552.0,3.3,63.7,10.43,1.57,0.17,1.16,0.046,Water Testing Kit,Agency_7,0,High,197.0
Zunheboto Village,Nagaland,2023-06-17,WS_57355,Spring,28.136289,96.965551,5.15,82.6,1721.0,4215.0,2.9,94.4,10.53,0.53,1.39,0.23,0.034,IoT Sensor,Agency_7,0,High,
Tezpur Rural,Assam,2023-06-17,WS_77915,Piped Supply,26.706607,89.438702,6.83,5.1,34.0,18.0,7.0,39.6,2.05,0.034,0.44,0.82,0.042,Water Testing Kit,Agency_2,1,Safe,
Silchar Village,Assam,2023-06-17,WS_40046,Well,23.246289,95.951817,6.88,8.0,0.0,45.0,5.7,30.6,1.89,0.04,0.59,1.4,0.032,Water Testing Kit,Agency_1,1,Safe,160.0
Nagaon Rural,Assam,2023-06-17,WS_73717,Well,23.424426,89.645022,8.07,6.1,11.0,52.0,6.3,27.6,1.6,0.009,1.16,1.14,0.039,Water Testing Kit,Agency_4,1,Safe,125.0
Kailashahar Village,Tripura,2023-06-18,WS_70096,Pond,26.309183,88.486381,4.57,57.1,1136.0,4688.0,3.1,190.1,10.59,1.48,0.77,1.0,0.047,Water Testing Kit,Agency_7,0,High,
Serchhip Village,Mizoram,2023-06-18,WS_59369,Piped Supply,24.647863,88.50845,8.22,0.5,27.0,29.0,5.0,27.9,1.97,0.03,1.98,1.41,0.009,IoT Sensor,Agency_8,1,Safe,
Williamnagar Village,Meghalaya,2023-06-18,WS_73412,Piped Supply,24.215788,94.482445,6.85,1.0,11.0,74.0,8.1,1.3,0.18,0.049,1.0,1.23,0.011,Water Testing Kit,Agency_3,1,Safe,
Hnahthial Village,Mizoram,2023-06-18,WS_49270,River,24.064784,95.327032,5.01,52.4,1427.0,4237.0,3.4,137.7,22.94,1.42,1.86,0.25,0.05,Lab Analysis,Agency_4,0,High,
Singtam Village,Sikkim,2023-06-18,WS_41578,River,26.772643,95.3751,5.43,76.7,224.0,681.0,1.2,68.0,17.29,1.76,0.76,1.27,0.036,Water Testing Kit,Agency_9,0,High,
Belonia Rural,Tripura,2023-06-18,WS_67939,Piped Supply,25.275168,96.207834,6.93,4.4,48.0,82.0,7.5,3.1,1.22,0.033,1.34,1.0,0.007,Water Testing Kit,Agency_2,1,Safe,
Ziro Village,Arunachal Pradesh,2023-06-18,WS_78182,Well,23.184522,90.799006,6.71,4.3,16.0,97.0,6.2,15.3,2.12,0.006,0.02,0.23,0.03,IoT Sensor,Agency_8,1,Safe,113.0
Thoubal Village,Manipur,2023-06-19,WS_67663,Piped Supply,23.287472,89.404303,4.92,21.2,1990.0,2227.0,1.4,103.7,24.6,0.37,1.14,1.5,0.043,IoT Sensor,Agency_7,0,High,
Gangtok Rural,Sikkim,2023-06-19,WS_10592,River,26.080598,91.399456,5.3,65.6,1231.0,2876.0,3.5,126.5,14.46,0.68,1.95,1.38,0.038,IoT Sensor,Agency_7,0,High,
Mangan Village,Sikkim,2023-06-19,WS_63818,Well,26.170538,95.347985,7.71,2.8,11.0,56.0,8.8,3.4,2.86,0.023,1.56,0.9,0.008,Water Testing Kit,Agency_4,1,Safe,120.0
Silchar Village,Assam,2023-06-19,WS_82579,Well,23.132901,89.228065,5.13,52.4,1469.0,311.0,3.6,198.8,24.28,0.91,0.34,0.09,0.032,IoT Sensor,Agency_9,0,High,187.0
Hnahthial Village,Mizoram,2023-06-19,WS_43026,River,25.746122,91.996981,7.32,6.2,39.0,26.0,5.1,4.6,2.47,0.02,1.42,0.41,0.042,Lab Analysis,Agency_6,1,Safe,
Serchhip Village,Mizoram,2023-06-19,WS_42293,Piped Supply,28.763081,89.95959,7.76,2.8,22.0,71.0,7.6,34.8,0.72,0.0,1.65,0.93,0.008,IoT Sensor,Agency_9,1,Safe,
Singtam Village,Sikkim,2023-06-19,WS_99620,Tube Well,27.657298,90.696696,6.61,0.4,32.0,24.0,5.0,37.5,1.15,0.021,1.66,0.98,0.021,IoT Sensor,Agency_2,1,Safe,155.0
Tezpur Village,Arunachal Pradesh,2023-06-20,WS_36678,Well,28.270008,90.53318,8.29,3.1,33.0,76.0,8.3,32.6,1.5,0.035,1.83,0.55,0.0,Lab Analysis,Agency_9,1,Safe,9.0
Pasighat Rural,Arunachal Pradesh,2023-06-20,WS_28714,Pond,23.354478,93.929055,4.79,44.2,1879.0,2666.0,1.6,175.3,10.39,1.63,1.03,1.22,0.049,IoT Sensor,Agency_3,0,High,
Barpeta Village,Assam,2023-06-20,WS_91155,Well,27.727358,91.020868,5.19,19.4,182.0,2013.0,1.7,102.6,13.07,0.26,1.92,0.33,0.044,Water Testing Kit,Agency_5,0,High,102.0
Jorhat Village,Assam,2023-06-20,WS_76135,Well,23.793294,88.289936,8.0,7.6,13.0,56.0,8.1,6.7,2.56,0.02,0.38,1.07,0.009,Water Testing Kit,Agency_5,1,Safe,43.0
Agartala Rural,Tripura,2023-06-20,WS_90034,Tube Well,28.658486,96.568209,6.92,7.2,50.0,97.0,8.6,2.8,1.88,0.022,0.2,0.31,0.046,IoT Sensor,Agency_8,1,Safe,27.0
Jowai Rural,Meghalaya,2023-06-20,WS_59218,Piped Supply,24.49564,88.566596,6.98,3.6,17.0,94.0,5.7,44.6,2.72,0.029,1.12,0.33,0.038,IoT Sensor,Agency_9,1,Safe,
Kiphire Village,Nagaland,2023-06-20,WS_49282,Well,27.359891,90.930447,4.94,35.0,674.0,4738.0,3.7,54.8,9.76,0.94,0.49,0.31,0.002,IoT Sensor,Agency_8,0,High,197.0
Lawngtlai Village,Mizoram,2023-06-21,WS_76364,Well,23.233801,88.280328,6.89,7.3,22.0,53.0,7.4,13.8,2.69,0.03,0.62,1.27,0.013,Lab Analysis,Agency_3,1,Safe,176.0
Guwahati Rural,Assam,2023-06-21,WS_14641,Well,24.531904,94.638522,6.98,7.2,10.0,14.0,6.8,22.4,2.46,0.038,1.93,1.09,0.049,IoT Sensor,Agency_1,1,Safe,161.0
Serchhip Village,Mizoram,2023-06-21,WS_71919,Tube Well,27.908863,96.076507,8.08,4.6,44.0,23.0,7.8,38.2,2.33,0.028,1.87,1.12,0.042,Water Testing Kit,Agency_3,1,Safe,75.0
Mokokchung Rural,Nagaland,2023-06-21,WS_22082,Pond,28.48342,94.453718,5.09,57.6,905.0,3841.0,2.7,109.2,7.62,0.41,1.27,0.21,0.005,Water Testing Kit,Agency_1,0,High,
Kolasib Rural,Mizoram,2023-06-21,WS_81351,Pond,25.757077,92.341743,6.17,90.7,1396.0,2955.0,1.7,190.7,18.42,1.11,1.46,0.31,0.015,IoT Sensor,Agency_6,0,High,
Ukhrul Village,Manipur,2023-06-21,WS_28804,Piped Supply,24.901911,88.030773,8.09,5.3,46.0,67.0,6.4,4.5,2.11,0.049,1.52,0.24,0.031,Water Testing Kit,Agency_5,1,Safe,
Champhai Rural,Mizoram,2023-06-21,WS_86690,Pond,27.255416,96.360574,7.08,0.9,39.0,12.0,5.2,17.8,2.7,0.029,1.5,1.11,0.043,Lab Analysis,Agency_1,1,Safe,
Aizawl Rural,Mizoram,2023-06-22,WS_55186,Well,25.145095,93.552618,6.05,16.8,385.0,709.0,1.1,171.5,10.59,1.48,0.34,1.04,0.003,IoT Sensor,Agency_2,0,High,104.0
Senapati Rural,Manipur,2023-06-22,WS_12527,Piped Supply,25.252775,94.635376,5.29,41.5,1795.0,1461.0,3.8,174.3,7.0,1.01,0.63,1.07,0.016,Water Testing Kit,Agency_9,0,High,
Shillong Rural,Meghalaya,2023-06-22,WS_66656,Piped Supply,23.429093,95.939952,8.14,3.4,19.0,95.0,6.5,3.5,0.92,0.044,0.66,1.46,0.021,IoT Sensor,Agency_8,1,Safe,
Tamenglong Rural,Manipur,2023-06-22,WS_17926,Well,25.082792,88.659286,7.92,2.4,42.0,83.0,5.6,32.1,0.88,0.023,1.35,1.44,0.033,Water Testing Kit,Agency_5,1,Safe,36.0
Williamnagar Village,Meghalaya,2023-06-22,WS_75541,Well,25.052564,89.269955,5.0,60.5,558.0,4682.0,1.5,75.7,8.03,0.93,1.69,0.58,0.009,IoT Sensor,Agency_3,0,High,17.0
Kolasib Rural,Mizoram,2023-06-22,WS_90037,Tube Well,25.842628,90.997973,5.18,68.7,875.0,2492.0,3.4,199.9,14.34,0.82,0.93,1.42,0.014,Water Testing Kit,Agency_5,0,High,10.0
Mangan Village,Sikkim,2023-06-22,WS_77389,Piped Supply,24.173883,89.798908,6.82,7.0,34.0,53.0,8.3,43.9,1.23,0.018,1.65,0.1,0.025,Water Testing Kit,Agency_8,1,Safe,
Khowai Village,Tripura,2023-06-23,WS_19615,Piped Supply,24.686629,88.682847,7.62,5.0,31.0,57.0,5.9,29.4,2.32,0.041,0.34,0.43,0.022,IoT Sensor,Agency_3,1,Safe,
Tamenglong Rural,Manipur,2023-06-23,WS_50223,Well,23.840267,96.650519,7.76,4.1,30.0,76.0,7.8,29.6,2.15,0.039,1.22,0.01,0.04,IoT Sensor,Agency_1,1,Safe,100.0
Tura Village,Meghalaya,2023-06-23,WS_24683,Piped Supply,25.891705,90.189834,5.51,19.0,222.0,446.0,1.8,170.3,12.25,1.32,0.86,0.6,0.012,IoT Sensor,Agency_4,0,High,
Bishnupur Rural,Manipur,2023-06-23,WS_62381,Piped Supply,25.074572,91.194642,6.93,4.4,12.0,11.0,6.6,2.3,2.72,0.023,1.96,0.03,0.032,IoT Sensor,Agency_2,1,Safe,
Serchhip Village,Mizoram,2023-06-23,WS_64811,Well,25.939028,88.276025,7.52,6.0,13.0,0.0,8.9,23.0,0.24,0.005,1.48,1.39,0.05,Water Testing Kit,Agency_7,1,Safe,158.0
Ziro Village,Arunachal Pradesh,2023-06-23,WS_75329,Pond,25.365869,90.45378,6.92,4.4,40.0,3.0,5.4,8.8,1.37,0.001,0.98,1.28,0.012,Water Testing Kit,Agency_4,1,Safe,
Teliamura Rural,Tripura,2023-06-23,WS_34770,Pond,24.870199,91.93583,6.34,36.0,1386.0,3373.0,2.3,189.8,20.39,0.14,1.08,0.51,0.013,Water Testing Kit,Agency_4,0,High,
Aizawl Rural,Mizoram,2023-06-24,WS_73127,Well,27.514195,94.107178,7.48,3.5,5.0,23.0,7.1,36.0,2.07,0.027,0.42,1.24,0.039,Lab Analysis,Agency_2,1,Safe,72.0
Kolasib Rural,Mizoram,2023-06-24,WS_42463,River,25.840146,91.289334,4.92,89.7,1293.0,3490.0,3.5,65.4,14.48,0.26,0.32,1.07,0.045,IoT Sensor,Agency_1,0,High,
Ukhrul Village,Manipur,2023-06-24,WS_45433,Piped Supply,24.110593,94.64416,7.66,1.0,6.0,14.0,8.7,9.5,0.46,0.049,0.54,1.15,0.013,IoT Sensor,Agency_9,1,Safe,
Aizawl Rural,Mizoram,2023-06-24,WS_93486,Well,25.851676,89.338359,5.43,97.0,1083.0,1762.0,3.7,142.0,23.6,1.93,0.72,0.88,0.047,Lab Analysis,Agency_5,0,High,106.0
Mokokchung Rural,Nagaland,2023-06-24,WS_61676,Tube Well,28.13943,96.524154,5.72,37.3,1539.0,1790.0,2.3,165.6,22.96,0.45,0.56,0.58,0.021,IoT Sensor,Agency_5,0,High,129.0
Mangan Village,Sikkim,2023-06-24,WS_89705,Pond,23.483584,92.69739,4.79,19.9,1475.0,4264.0,3.4,144.0,24.38,0.1,0.13,0.95,0.043,IoT Sensor,Agency_6,0,High,
Khliehriat Village,Meghalaya,2023-06-24,WS_35980,Tube Well,28.88534,90.518353,7.26,5.6,26.0,53.0,6.3,0.1,1.07,0.015,1.04,0.82,0.028,IoT Sensor,Agency_9,1,Safe,165.0
Jowai Rural,Meghalaya,2023-06-25,WS_55757,River,26.505424,91.960837,7.28,5.2,38.0,76.0,6.4,25.7,1.84,0.012,0.16,1.43,0.011,IoT Sensor,Agency_9,1,Safe,
Ziro Village,Arunachal Pradesh,2023-06-25,WS_59249,Piped Supply,26.009114,90.104289,8.49,6.1,14.0,72.0,5.9,30.7,0.11,0.01,1.84,0.13,0.021,IoT Sensor,Agency_9,1,Safe,
Pakyong Village,Sikkim,2023-06-25,WS_53828,Pond,23.048362,96.365714,8.11,0.7,44.0,18.0,5.2,10.0,0.26,0.031,0.97,1.48,0.023,Water Testing Kit,Agency_7,1,Safe,
Ukhrul Village,Manipur,2023-06-25,WS_51675,Piped Supply,25.406594,88.041323,6.77,5.3,26.0,83.0,5.2,24.5,0.56,0.031,0.98,1.3,0.018,Water Testing Kit,Agency_5,1,Safe,
Amarpur Village,Tripura,2023-06-25,WS_35627,Tube Well,26.205629,94.092408,8.05,0.3,10.0,77.0,5.4,1.9,1.85,0.002,0.37,0.7,0.001,IoT Sensor,Agency_5,1,Safe,161.0
Pakyong Village,Sikkim,2023-06-25,WS_43666,Well,27.649252,94.530665,8.4,5.7,4.0,63.0,7.9,5.0,0.88,0.021,0.86,0.16,0.032,IoT Sensor,Agency_9,1,Safe,170.0
Phek Rural,Nagaland,2023-06-25,WS_57400,River,28.395909,96.234315,5.05,66.2,457.0,3892.0,2.4,182.5,23.78,0.83,1.66,1.14,0.015,IoT Sensor,Agency_5,0,High,
Silchar Village,Assam,2023-06-26,WS_11971,Piped Supply,27.813903,93.055666,4.99,29.5,1450.0,4195.0,3.2,196.2,6.54,0.98,1.96,0.56,0.021,Lab Analysis,Agency_2,0,High,
Serchhip Village,Mizoram,2023-06-26,WS_35216,Well,28.030867,92.34859,7.31,5.0,38.0,44.0,8.8,42.2,2.04,0.05,1.43,0.47,0.034,IoT Sensor,Agency_9,1,Safe,11.0
Mangan Village,Sikkim,2023-06-26,WS_16942,Well,25.107332,96.264292,7.5,4.4,10.0,3.0,5.3,12.8,2.56,0.04,1.58,1.05,0.027,Lab Analysis,Agency_9,1,Safe,14.0
Tezpur Village,Arunachal Pradesh,2023-06-26,WS_28555,Spring,23.690244,95.998799,6.89,0.9,1.0,71.0,6.1,32.3,0.55,0.022,1.35,1.02,0.041,IoT Sensor,Agency_4,1,Safe,
Phek Rural,Nagaland,2023-06-26,WS_30626,River,25.767637,96.771142,5.76,33.3,1415.0,2062.0,2.3,172.7,11.96,0.59,0.11,1.0,0.005,Lab Analysis,Agency_4,0,High,
Pasighat Rural,Arunachal Pradesh,2023-06-26,WS_86421,Tube Well,23.577993,95.970409,7.27,4.6,8.0,8.0,7.2,3.2,1.98,0.04,1.79,0.17,0.044,Lab Analysis,Agency_6,1,Safe,186.0
Belonia Rural,Tripura,2023-06-26,WS_32323,Pond,23.962273,94.506741,5.21,22.1,378.0,903.0,1.7,180.6,10.9,0.62,1.94,1.12,0.043,IoT Sensor,Agency_8,0,High,
Jowai Rural,Meghalaya,2023-06-27,WS_18799,Well,24.850019,88.441037,7.04,4.2,0.0,68.0,6.8,11.7,0.81,0.002,1.25,0.91,0.03,IoT Sensor,Agency_3,1,Safe,24.0
Baghmara Rural,Meghalaya,2023-06-27,WS_25719,Tube Well,23.962719,94.832558,7.61,4.4,26.0,94.0,7.4,21.8,2.3,0.013,1.42,0.23,0.033,IoT Sensor,Agency_3,1,Safe,172.0
Singtam Village,Sikkim,2023-06-27,WS_65972,Well,24.120624,96.749044,8.09,7.7,28.0,57.0,6.9,13.9,0.43,0.015,0.14,1.39,0.007,IoT Sensor,Agency_7,1,Safe,176.0
Aizawl Rural,Mizoram,2023-06-27,WS_91697,Pond,23.872285,95.906262,5.83,70.8,1892.0,3648.0,2.8,76.4,14.53,1.04,0.06,0.2,0.023,Water Testing Kit,Agency_1,0,High,
Singtam Village,Sikkim,2023-06-27,WS_51152,Well,27.86806,92.444235,7.23,3.4,4.0,88.0,7.2,40.8,2.34,0.045,1.82,0.79,0.009,Lab Analysis,Agency_2,1,Safe,100.0
Roing Village,Arunachal Pradesh,2023-06-27,WS_73844,Well,25.397063,93.02119,5.69,76.6,1073.0,1971.0,1.9,149.9,19.89,0.65,1.62,1.39,0.017,IoT Sensor,Agency_4,0,High,127.0
Rangpo Rural,Sikkim,2023-06-27,WS_37106,Tube Well,26.768197,92.470793,5.45,56.3,1861.0,2392.0,2.6,70.7,14.16,0.75,0.4,1.1,0.046,IoT Sensor,Agency_2,0,High,87.0
Ziro Village,Arunachal Pradesh,2023-06-28,WS_66072,River,26.832415,94.697285,8.41,0.7,40.0,28.0,7.2,35.3,1.64,0.006,1.3,1.06,0.018,Water Testing Kit,Agency_3,1,Safe,
Singtam Village,Sikkim,2023-06-28,WS_85912,Tube Well,25.144714,93.121483,5.23,70.0,880.0,3702.0,3.0,150.1,13.41,0.2,1.25,1.33,0.016,Lab Analysis,Agency_4,0,High,45.0
Phek Rural,Nagaland,2023-06-28,WS_79078,Piped Supply,28.954023,94.613431,6.63,2.9,6.0,56.0,8.4,18.4,0.68,0.015,1.2,0.46,0.021,Water Testing Kit,Agency_2,1,Safe,
Tezpur Rural,Assam,2023-06-28,WS_30413,Pond,25.29085,92.883591,5.4,80.1,892.0,4141.0,2.4,59.1,17.61,1.58,1.39,0.32,0.017,IoT Sensor,Agency_8,0,High,
Mangan Village,Sikkim,2023-06-28,WS_20263,Spring,24.740542,96.526688,5.34,70.2,1073.0,1853.0,2.3,179.6,8.96,0.7,1.04,1.3,0.013,IoT Sensor,Agency_1,0,High,
Dimapur Village,Nagaland,2023-06-28,WS_36108,Pond,28.011929,95.957116,8.24,5.3,14.0,37.0,7.6,25.2,1.68,0.021,1.79,0.71,0.047,IoT Sensor,Agency_7,1,Safe,
Udaipur Village,Tripura,2023-06-28,WS_98323,Pond,24.932774,91.371636,5.88,76.7,1791.0,442.0,2.1,55.2,9.21,0.86,0.76,0.19,0.047,IoT Sensor,Agency_3,0,High,
Dimapur Village,Nagaland,2023-06-29,WS_82945,River,26.005087,96.359438,6.29,19.6,692.0,4123.0,1.5,62.6,14.16,0.73,1.64,1.16,0.03,Water Testing Kit,Agency_7,0,High,
Tuensang Village,Nagaland,2023-06-29,WS_40474,Well,23.97489,92.957448,6.1,49.7,203.0,3383.0,3.0,84.1,13.21,1.19,0.36,0.31,0.024,Water Testing Kit,Agency_7,0,High,26.0
Tura Village,Meghalaya,2023-06-29,WS_89141,Piped Supply,23.195767,94.694012,7.31,2.7,9.0,6.0,7.5,35.1,2.57,0.036,0.19,0.08,0.025,Lab Analysis,Agency_4,1,Safe,
Williamnagar Village,Meghalaya,2023-06-29,WS_62435,Well,23.220873,88.081511,7.71,6.3,14.0,47.0,8.8,17.6,2.13,0.014,0.18,1.23,0.024,Water Testing Kit,Agency_9,1,Safe,11.0
Silchar Village,Assam,2023-06-29,WS_42405,Well,24.131751,90.258473,6.67,5.0,19.0,86.0,8.0,0.8,0.5,0.024,1.27,0.17,0.009,Water Testing Kit,Agency_2,1,Safe,198.0
Kailashahar Village,Tripura,2023-06-29,WS_36096,Well,28.607942,95.428598,7.01,7.6,42.0,33.0,7.2,15.2,2.11,0.018,0.79,0.69,0.043,Water Testing Kit,Agency_9,1,Safe,155.0
Belonia Rural,Tripura,2023-06-29,WS_42876,Piped Supply,27.904987,94.061407,7.72,3.2,26.0,54.0,8.5,9.8,0.74,0.011,1.61,0.85,0.049,Water Testing Kit,Agency_6,1,Safe,
Wokha Rural,Nagaland,2023-06-30,WS_28515,River,24.719346,90.281686,6.26,32.5,766.0,2285.0,1.7,176.1,6.67,0.55,1.58,0.26,0.028,IoT Sensor,Agency_9,0,High,
Champhai Rural,Mizoram,2023-06-30,WS_80399,River,26.277657,93.147858,7.01,0.6,17.0,57.0,7.6,24.1,1.3,0.049,1.11,0.74,0.04,Water Testing Kit,Agency_7,1,Safe,
Kohima Rural,Nagaland,2023-06-30,WS_17468,Well,23.464366,96.60083,4.6,27.9,1997.0,4596.0,3.7,50.3,14.01,1.59,1.03,0.01,0.024,IoT Sensor,Agency_6,0,High,59.0
Wokha Rural,Nagaland,2023-06-30,WS_94103,Tube Well,28.453391,96.128188,6.75,7.3,49.0,6.0,5.3,25.5,1.6,0.029,0.61,1.2,0.013,IoT Sensor,Agency_3,1,Safe,179.0
Teliamura Rural,Tripura,2023-06-30,WS_33524,Well,24.017909,96.42973,4.66,40.1,704.0,3410.0,3.1,138.2,20.4,0.96,0.66,0.4,0.009,Water Testing Kit,Agency_2,0,High,129.0
Itanagar Rural,Arunachal Pradesh,2023-06-30,WS_87038,Spring,25.917318,90.846052,8.07,3.3,21.0,99.0,5.8,14.7,0.59,0.014,0.19,0.58,0.048,Water Testing Kit,Agency_1,1,Safe,
Gyalshing Rural,Sikkim,2023-06-30,WS_86745,River,28.489937,94.854303,8.47,3.4,26.0,97.0,6.7,35.6,1.33,0.011,0.84,0.26,0.036,Lab Analysis,Agency_8,1,Safe,
Tezpur Village,Arunachal Pradesh,2023-07-01,WS_36412,Piped Supply,28.398521,92.186518,6.81,2.1,13.0,38.0,6.0,10.2,1.18,0.043,0.19,0.5,0.031,IoT Sensor,Agency_6,1,Safe,
Serchhip Village,Mizoram,2023-07-01,WS_29503,Piped Supply,26.039544,91.517531,4.63,15.9,1954.0,1456.0,3.4,183.0,8.15,0.48,0.07,1.38,0.047,IoT Sensor,Agency_5,0,High,
Mangan Village,Sikkim,2023-07-01,WS_46318,Well,25.757343,90.042031,7.93,1.7,30.0,11.0,7.7,27.9,0.72,0.044,1.56,0.32,0.024,Lab Analysis,Agency_1,1,Safe,5.0
Pakyong Village,Sikkim,2023-07-01,WS_48740,River,26.64679,92.943452,4.96,96.4,1926.0,1960.0,3.8,142.8,20.62,0.27,1.55,1.17,0.022,IoT Sensor,Agency_5,0,High,
Udaipur Village,Tripura,2023-07-01,WS_28019,River,23.004067,92.248225,6.26,67.1,397.0,2891.0,1.4,71.9,6.62,1.76,1.03,0.5,0.024,Water Testing Kit,Agency_7,0,High,
Kailashahar Village,Tripura,2023-07-01,WS_90437,Well,28.680383,91.552036,5.03,29.1,559.0,2593.0,2.3,99.4,23.13,1.58,1.94,0.98,0.042,IoT Sensor,Agency_3,0,High,11.0
Tawang Rural,Arunachal Pradesh,2023-07-01,WS_80601,Well,23.172469,90.533639,8.44,1.0,39.0,36.0,9.0,39.2,0.69,0.038,1.61,0.48,0.006,Water Testing Kit,Agency_2,1,Safe,185.0
