village,state,date,season,month,daily_rainfall_mm,weekly_rainfall_mm,monthly_rainfall_mm,temperature_celsius,max_temperature_celsius,min_temperature_celsius,humidity_percent,wind_speed_kmh,wind_direction,atmospheric_pressure_hpa,solar_radiation_mj_m2,evaporation_rate_mm,flood_risk_level,drought_indicator,weather_station_id,data_source
Agartala Rural,Tripura,2023-06-13,Monsoon,6,104.6,674.2,451.8,22.3,27.7,19.9,78.8,12.2,W,1017.7,18.9,7.1,Low,No,WS_4552,Satellite
Namchi Village,Sikkim,2023-06-13,Monsoon,6,99.5,677.6,759.7,27.9,31.8,24.9,81.1,5.4,N,1019.9,18.7,10.7,Medium,No,WS_3226,IMD
Williamnagar Village,Meghalaya,2023-06-13,Monsoon,6,84.7,525.6,416.5,25.7,28.2,20.5,81.6,23.6,E,1006.8,15.8,2.4,Low,No,WS_3787,Local Station
Tezpur Village,Arunachal Pradesh,2023-06-13,Monsoon,6,113.3,680.8,779.1,25.4,31.6,22.1,77.5,6.7,W,1014.4,28.7,8.9,Medium,No,WS_3651,Satellite
Zunheboto Village,Nagaland,2023-06-13,Monsoon,6,186.7,1488.8,317.3,30.9,34.5,26.1,77.4,6.2,W,1002.4,17.6,11.0,Low,No,WS_1208,IMD
Jiribam Village,Manipur,2023-06-14,Monsoon,6,119.0,996.6,510.4,29.8,35.2,24.8,94.8,21.9,SW,1017.0,18.0,11.0,Low,Mild,WS_4557,IMD
Kolasib Rural,Mizoram,2023-06-14,Monsoon,6,129.7,928.3,639.0,24.4,27.0,19.0,89.0,3.1,NE,1003.5,25.8,7.9,Low,Mild,WS_2394,Local Station
Tawang Rural,Arunachal Pradesh,2023-06-14,Monsoon,6,104.5,741.4,407.3,25.3,31.9,21.7,88.2,16.5,SW,1001.7,15.8,4.1,Medium,Mild,WS_8056,IMD
Tawang Rural,Arunachal Pradesh,2023-06-14,Monsoon,6,146.0,1017.7,725.5,31.8,36.5,26.9,91.5,12.2,SE,1016.2,15.7,10.6,Low,Severe,WS_8967,Local Station
Khliehriat Village,Meghalaya,2023-06-14,Monsoon,6,113.9,719.7,417.4,22.2,25.6,17.7,78.3,2.9,NW,1001.2,18.7,9.2,Medium,Moderate,WS_1395,IMD
Karimganj Village,Assam,2023-06-14,Monsoon,6,114.5,709.4,685.9,22.9,30.3,20.1,90.6,18.4,NE,1006.7,24.4,7.3,High,No,WS_2544,Satellite
Williamnagar Village,Meghalaya,2023-06-14,Monsoon,6,102.2,825.1,555.2,24.2,27.1,21.5,91.5,16.3,W,1013.2,21.2,11.2,Low,No,WS_6736,IMD
Rangpo Rural,Sikkim,2023-06-15,Monsoon,6,92.1,577.7,406.2,31.4,38.2,29.4,94.0,16.1,S,1002.6,20.8,9.3,Low,No,WS_4692,Local Station
Kiphire Village,Nagaland,2023-06-15,Monsoon,6,75.3,581.4,531.6,28.9,33.8,23.2,87.4,12.7,W,1005.2,20.6,9.1,Low,No,WS_7250,Satellite
Kohima Rural,Nagaland,2023-06-15,Monsoon,6,53.2,364.0,500.6,24.4,30.2,22.2,86.8,4.7,SE,1007.6,20.2,6.0,Low,No,WS_1857,IMD
Silchar Village,Assam,2023-06-15,Monsoon,6,103.8,817.9,661.9,29.4,32.7,27.4,93.3,14.9,NE,1004.1,26.6,7.1,Low,No,WS_3350,IMD
Baghmara Rural,Meghalaya,2023-06-15,Monsoon,6,118.4,825.5,473.7,29.7,35.6,25.0,92.9,12.0,N,1007.2,28.4,3.1,Low,Moderate,WS_8144,Satellite
Ukhrul Village,Manipur,2023-06-15,Monsoon,6,103.0,592.0,563.2,29.2,36.8,26.4,86.1,2.5,W,1014.4,29.9,10.7,High,No,WS_9572,IMD
Guwahati Rural,Assam,2023-06-15,Monsoon,6,61.8,366.5,488.4,26.5,32.4,21.6,90.3,10.0,NW,1003.3,19.4,8.8,Low,No,WS_4323,Satellite
Dibrugarh Rural,Assam,2023-06-16,Monsoon,6,84.9,552.0,419.3,28.4,31.3,23.2,79.9,5.0,NW,1011.7,25.9,6.5,Low,Mild,WS_2500,IMD
Tezpur Village,Arunachal Pradesh,2023-06-16,Monsoon,6,103.9,653.9,463.3,31.8,37.5,25.8,76.7,17.4,SE,1009.2,19.6,7.6,Medium,No,WS_1315,Satellite
Agartala Rural,Tripura,2023-06-16,Monsoon,6,92.4,661.6,309.7,25.8,31.9,21.6,82.7,7.6,E,1011.8,15.6,8.0,High,Mild,WS_3290,Local Station
Pasighat Rural,Arunachal Pradesh,2023-06-16,Monsoon,6,148.5,1011.4,563.0,29.3,34.2,23.4,82.6,12.2,S,1019.5,25.9,11.2,Low,No,WS_4741,IMD
Agartala Rural,Tripura,2023-06-16,Monsoon,6,139.9,888.8,769.7,31.0,38.4,28.0,88.2,12.2,SE,1010.2,19.0,4.0,Low,No,WS_9774,IMD
Lunglei Village,Mizoram,2023-06-16,Monsoon,6,78.7,472.0,665.6,24.4,30.5,22.0,76.8,21.4,NW,1017.7,27.9,6.2,Low,No,WS_2767,IMD
Gyalshing Rural,Sikkim,2023-06-16,Monsoon,6,103.2,679.1,732.0,29.5,36.2,26.0,80.2,5.4,W,1019.2,27.4,8.2,Low,No,WS_4114,Local Station
Lawngtlai Village,Mizoram,2023-06-17,Monsoon,6,126.3,809.3,747.2,22.3,28.7,18.5,88.1,23.8,SE,1014.1,15.5,8.6,Low,No,WS_9995,IMD
Nongpoh Village,Meghalaya,2023-06-17,Monsoon,6,113.6,652.9,740.3,25.7,29.0,23.4,89.1,10.2,W,1004.0,21.9,4.4,Medium,No,WS_6726,IMD
Mangan Village,Sikkim,2023-06-17,Monsoon,6,90.2,588.1,331.9,30.0,32.4,25.8,80.8,11.7,S,1008.8,28.2,10.3,Low,No,WS_8582,Local Station
Guwahati Rural,Assam,2023-06-17,Monsoon,6,226.9,1486.9,623.6,23.9,29.3,20.6,88.3,3.4,E,1013.1,28.3,7.8,High,Mild,WS_7902,Satellite
Tezpur Village,Arunachal Pradesh,2023-06-17,Monsoon,6,143.5,994.5,412.8,29.7,35.0,24.5,83.8,20.3,N,1000.2,17.2,5.8,Low,No,WS_9107,Local Station
Baghmara Rural,Meghalaya,2023-06-17,Monsoon,6,66.2,456.7,456.7,26.3,33.4,22.4,94.5,15.8,NW,1003.3,17.5,8.9,Low,No,WS_3844,Satellite
Silchar Village,Assam,2023-06-17,Monsoon,6,68.6,453.3,557.6,23.4,29.1,20.6,83.0,14.7,NE,1011.1,22.4,9.3,Low,Moderate,WS_1093,IMD
Dharmanagar Rural,Tripura,2023-06-18,Monsoon,6,144.6,1036.2,792.5,24.7,30.8,21.4,79.3,19.2,E,1013.6,25.6,2.9,Low,No,WS_6631,Local Station
Tezpur Village,Arunachal Pradesh,2023-06-18,Monsoon,6,118.2,711.3,493.8,31.7,37.9,26.2,78.9,19.4,E,1001.5,29.5,9.2,Low,Mild,WS_7438,Satellite
Teliamura Rural,Tripura,2023-06-18,Monsoon,6,117.7,880.1,641.5,26.2,34.2,22.2,77.0,8.4,NE,1009.5,25.1,4.4,Low,Severe,WS_9796,IMD
Tezpur Rural,Assam,2023-06-18,Monsoon,6,69.1,398.6,592.7,27.5,35.2,23.5,80.3,16.6,E,1001.7,20.8,11.5,Medium,No,WS_6403,Satellite
Churachandpur Village,Manipur,2023-06-18,Monsoon,6,105.8,884.8,538.9,25.5,30.8,20.2,80.8,20.5,SE,1018.0,25.3,2.6,Low,No,WS_4098,IMD
Phek Rural,Nagaland,2023-06-18,Monsoon,6,123.0,1011.6,792.0,22.4,27.3,18.2,77.6,7.4,NW,1007.4,24.8,5.7,Low,No,WS_8245,Satellite
Tuensang Village,Nagaland,2023-06-18,Monsoon,6,38.8,322.3,410.6,22.8,25.3,20.1,79.8,2.4,NW,1008.9,25.0,5.6,Low,No,WS_6998,IMD
Phek Rural,Nagaland,2023-06-19,Monsoon,6,75.0,488.7,661.6,27.0,33.6,23.0,86.6,9.4,W,1006.3,28.0,7.3,Low,No,WS_9489,Satellite
Nagaon Rural,Assam,2023-06-19,Monsoon,6,153.0,1179.7,432.1,28.4,32.3,22.7,81.9,11.1,SW,1015.6,24.1,3.6,Low,No,WS_5973,IMD
Tawang Rural,Arunachal Pradesh,2023-06-19,Monsoon,6,89.5,714.9,741.2,26.3,34.3,22.2,75.3,4.2,NE,1004.3,20.9,10.0,Low,No,WS_6424,Local Station
Tuensang Village,Nagaland,2023-06-19,Monsoon,6,201.7,1322.1,573.8,29.4,37.0,24.0,88.5,14.8,S,1009.0,25.8,10.5,Low,No,WS_5234,IMD
Jorethang Rural,Sikkim,2023-06-19,Monsoon,6,91.1,547.7,698.6,24.2,32.0,20.7,78.9,19.4,E,1006.4,24.3,6.8,Low,Mild,WS_9479,Satellite
Nagaon Rural,Assam,2023-06-19,Monsoon,6,154.0,1059.6,487.2,31.1,37.2,26.8,75.7,19.6,SE,1014.8,27.5,10.9,Medium,No,WS_8399,IMD
Karimganj Village,Assam,2023-06-19,Monsoon,6,76.0,595.1,673.1,23.2,26.8,17.8,89.3,12.6,SW,1005.4,27.1,7.0,Low,No,WS_8635,IMD
Churachandpur Village,Manipur,2023-06-20,Monsoon,6,37.3,308.7,431.2,30.4,33.5,24.8,80.2,12.9,NW,1011.3,19.3,7.4,Low,No,WS_6545,IMD
Tura Village,Meghalaya,2023-06-20,Monsoon,6,128.8,968.6,513.0,27.9,31.4,22.1,86.3,17.6,NW,1014.5,23.2,10.1,Medium,No,WS_3534,IMD
Jowai Rural,Meghalaya,2023-06-20,Monsoon,6,72.3,468.0,748.1,22.5,26.1,16.9,76.7,16.1,W,1010.1,15.5,10.9,Low,No,WS_8465,Local Station
Namchi Village,Sikkim,2023-06-20,Monsoon,6,165.9,1243.9,339.5,31.4,35.5,27.3,78.6,3.7,S,1001.6,24.4,10.8,Low,No,WS_7163,Local Station
Ukhrul Village,Manipur,2023-06-20,Monsoon,6,249.8,1699.1,778.7,25.6,32.8,23.5,79.0,5.0,NE,1000.4,17.3,8.9,Medium,No,WS_8083,IMD
Senapati Rural,Manipur,2023-06-20,Monsoon,6,65.1,529.2,493.8,31.3,33.5,25.8,77.3,18.9,NW,1010.9,27.9,3.1,Low,Moderate,WS_2066,Satellite
Bomdila Rural,Arunachal Pradesh,2023-06-20,Monsoon,6,62.6,484.5,617.1,23.7,27.7,21.5,77.8,5.6,S,1013.3,27.4,10.5,Low,No,WS_2145,Local Station
Wokha Rural,Nagaland,2023-06-21,Monsoon,6,82.2,537.4,786.6,31.7,35.9,27.3,80.9,2.8,NW,1014.9,17.9,9.3,Low,No,WS_1341,Satellite
Dimapur Village,Nagaland,2023-06-21,Monsoon,6,181.3,1263.4,418.5,26.8,28.8,24.0,75.5,6.9,E,1002.8,26.3,8.9,Low,No,WS_3701,IMD
Resubelpara Rural,Meghalaya,2023-06-21,Monsoon,6,61.6,481.1,695.5,30.7,34.7,26.3,83.6,15.9,E,1010.7,23.1,5.9,Low,Mild,WS_4711,Local Station
Lunglei Village,Mizoram,2023-06-21,Monsoon,6,143.6,1148.3,535.7,26.8,29.1,21.4,89.1,12.1,NE,1010.4,21.0,11.8,Low,Mild,WS_4053,Local Station
Mangan Village,Sikkim,2023-06-21,Monsoon,6,94.0,787.2,421.5,27.8,32.2,25.6,80.4,22.8,S,1014.0,20.2,6.8,Low,No,WS_7893,Local Station
Imphal Rural,Manipur,2023-06-21,Monsoon,6,196.6,1534.6,735.1,25.2,27.9,22.1,78.1,20.0,N,1000.2,29.3,2.7,Low,Mild,WS_7549,Local Station
Pakyong Village,Sikkim,2023-06-21,Monsoon,6,119.5,969.6,343.5,30.1,36.4,28.1,91.9,9.9,N,1019.9,20.9,11.0,Low,Moderate,WS_3845,IMD
Tura Village,Meghalaya,2023-06-22,Monsoon,6,68.9,441.8,770.7,28.2,30.7,25.5,94.3,18.9,W,1016.5,22.9,9.0,Low,No,WS_2958,IMD
Aizawl Rural,Mizoram,2023-06-22,Monsoon,6,126.6,721.6,308.4,27.7,33.5,25.3,88.7,3.7,SW,1007.5,22.2,7.0,High,No,WS_4254,IMD
Pasighat Rural,Arunachal Pradesh,2023-06-22,Monsoon,6,103.2,776.1,686.5,26.1,32.1,20.9,92.5,24.1,W,1005.4,27.3,4.9,Medium,No,WS_8627,IMD
Tura Village,Meghalaya,2023-06-22,Monsoon,6,112.0,825.0,471.0,30.8,33.7,25.5,91.9,10.7,NE,1003.1,24.7,8.6,High,No,WS_1815,IMD
Saitual Rural,Mizoram,2023-06-22,Monsoon,6,133.5,936.2,586.3,29.9,35.1,26.9,84.8,17.5,SW,1019.0,21.2,6.7,Medium,No,WS_1479,Local Station
Amarpur Village,Tripura,2023-06-22,Monsoon,6,129.1,1076.2,314.7,27.4,32.1,24.3,76.0,16.2,NW,1017.6,20.9,6.4,Low,No,WS_4383,Local Station
Jiribam Village,Manipur,2023-06-22,Monsoon,6,67.3,434.5,318.7,24.0,31.9,21.6,75.7,8.9,W,1015.2,21.1,9.0,High,Moderate,WS_5973,IMD
Silchar Village,Assam,2023-06-23,Monsoon,6,96.9,772.2,333.2,30.2,33.9,27.0,77.7,15.2,S,1006.6,22.5,2.5,Medium,No,WS_5391,Satellite
Lawngtlai Village,Mizoram,2023-06-23,Monsoon,6,48.5,342.9,356.5,30.8,37.9,25.6,85.5,24.1,NW,1017.4,28.0,3.2,Low,No,WS_1752,IMD
Guwahati Rural,Assam,2023-06-23,Monsoon,6,90.7,575.9,314.2,24.2,30.1,19.3,85.9,3.7,W,1007.2,17.9,10.8,Medium,Mild,WS_7071,Satellite
Ukhrul Village,Manipur,2023-06-23,Monsoon,6,139.6,784.2,721.6,25.0,30.1,21.7,88.0,3.4,S,1019.2,16.8,8.9,Medium,Mild,WS_7356,Local Station
Mokokchung Rural,Nagaland,2023-06-23,Monsoon,6,197.2,1403.1,330.8,30.7,33.2,25.7,90.4,13.4,E,1001.7,21.5,2.5,High,No,WS_3400,Satellite
Amarpur Village,Tripura,2023-06-23,Monsoon,6,151.6,887.2,675.3,25.9,28.2,20.5,89.6,13.3,NW,1009.3,27.3,5.5,Low,Mild,WS_7996,Local Station
Aizawl Rural,Mizoram,2023-06-23,Monsoon,6,55.0,335.3,315.5,25.7,29.2,23.0,82.9,19.8,SE,1009.5,27.9,4.8,Low,No,WS_7043,IMD
Tawang Rural,Arunachal Pradesh,2023-06-24,Monsoon,6,166.2,1197.7,496.4,25.3,29.4,21.7,76.5,18.7,SE,1007.2,29.1,11.5,Medium,No,WS_9997,IMD
Senapati Rural,Manipur,2023-06-24,Monsoon,6,74.3,509.4,725.5,22.6,27.1,20.5,85.3,10.2,W,1016.1,29.2,3.1,Low,No,WS_2951,Satellite
Nongpoh Village,Meghalaya,2023-06-24,Monsoon,6,21.3,153.7,578.4,27.7,35.3,25.4,95.0,21.0,W,1004.6,24.2,2.2,Low,Mild,WS_2013,IMD
Churachandpur Village,Manipur,2023-06-24,Monsoon,6,109.6,843.1,467.1,23.6,28.6,20.8,82.7,9.4,NW,1013.2,18.7,2.1,Medium,No,WS_9163,Satellite
Amarpur Village,Tripura,2023-06-24,Monsoon,6,105.6,610.4,793.5,27.1,31.9,23.7,83.9,18.8,E,1000.6,27.5,11.0,Low,No,WS_1530,Local Station
Karimganj Village,Assam,2023-06-24,Monsoon,6,348.5,2767.1,524.2,31.4,35.3,29.4,90.0,7.1,SE,1001.8,16.0,10.5,Medium,No,WS_9896,IMD
Nongpoh Village,Meghalaya,2023-06-24,Monsoon,6,110.7,884.9,659.3,27.7,34.5,23.4,78.3,9.2,S,1014.1,16.2,8.8,High,No,WS_2817,Local Station
Mokokchung Rural,Nagaland,2023-06-25,Monsoon,6,133.2,753.5,465.9,30.9,37.7,26.1,78.4,12.6,E,1014.8,22.5,5.8,Medium,Mild,WS_4537,IMD
Ukhrul Village,Manipur,2023-06-25,Monsoon,6,115.3,724.4,761.7,23.5,27.1,20.7,75.5,16.8,NW,1006.6,17.9,6.2,Low,No,WS_1667,Local Station
Jorhat Village,Assam,2023-06-25,Monsoon,6,106.9,822.9,497.6,25.8,33.6,22.4,93.9,5.8,W,1009.5,16.6,9.9,Medium,Mild,WS_5982,IMD
Resubelpara Rural,Meghalaya,2023-06-25,Monsoon,6,53.9,431.1,300.1,28.9,32.1,23.0,94.2,3.0,NE,1004.0,29.4,4.5,Low,No,WS_8516,IMD
Tezpur Rural,Assam,2023-06-25,Monsoon,6,173.3,1032.5,561.2,23.5,30.2,17.5,83.1,6.7,NW,1004.6,22.0,9.4,Medium,No,WS_9678,IMD
Khowai Village,Tripura,2023-06-25,Monsoon,6,115.3,962.3,723.0,22.1,26.9,18.6,87.6,5.4,SE,1016.0,18.3,2.7,High,No,WS_8362,Satellite
Tezpur Rural,Assam,2023-06-25,Monsoon,6,92.9,755.5,775.6,27.8,30.3,24.6,93.9,8.2,S,1014.4,19.1,7.2,High,Mild,WS_9174,IMD
Nongpoh Village,Meghalaya,2023-06-26,Monsoon,6,100.4,621.4,460.3,23.0,27.8,18.8,90.2,8.7,E,1017.0,20.3,9.4,High,No,WS_7506,IMD
Nagaon Rural,Assam,2023-06-26,Monsoon,6,203.0,1533.6,356.1,27.5,31.4,24.4,89.3,3.1,NW,1008.4,27.2,11.8,Low,Mild,WS_2195,Local Station
Guwahati Rural,Assam,2023-06-26,Monsoon,6,88.5,592.9,319.5,31.6,34.6,29.3,84.5,3.4,E,1017.8,16.8,2.3,Low,No,WS_3157,Local Station
Naharlagun Village,Arunachal Pradesh,2023-06-26,Monsoon,6,161.2,1324.7,351.5,25.9,30.5,23.9,87.9,18.5,S,1002.1,17.2,2.1,Low,Mild,WS_4217,IMD
Aizawl Rural,Mizoram,2023-06-26,Monsoon,6,72.9,430.3,447.1,22.8,29.4,19.0,94.2,6.9,NW,1012.9,22.4,9.8,Medium,Mild,WS_9178,IMD
Shillong Rural,Meghalaya,2023-06-26,Monsoon,6,88.7,725.0,652.2,27.5,31.1,22.4,84.4,17.0,W,1015.7,16.8,8.6,Low,No,WS_7310,IMD
Rangpo Rural,Sikkim,2023-06-26,Monsoon,6,141.5,925.3,668.7,26.4,32.1,24.0,75.4,7.6,E,1005.5,26.4,7.4,Low,Mild,WS_8394,IMD
Phek Rural,Nagaland,2023-06-27,Monsoon,6,107.9,855.1,597.1,26.6,28.6,21.0,80.6,20.6,SE,1004.1,18.9,6.1,Low,No,WS_7281,IMD
Mangan Village,Sikkim,2023-06-27,Monsoon,6,128.6,754.7,309.4,28.8,36.6,26.4,77.4,6.7,SE,1000.3,18.5,2.4,Low,No,WS_7591,IMD
Jorethang Rural,Sikkim,2023-06-27,Monsoon,6,247.4,1446.6,453.3,29.8,35.6,24.3,85.6,5.3,NE,1004.9,18.1,6.8,Low,No,WS_9669,Satellite
Amarpur Village,Tripura,2023-06-27,Monsoon,6,159.8,1057.9,618.9,29.1,35.6,23.6,83.8,3.3,E,1008.8,28.1,3.6,Medium,Mild,WS_3392,Satellite
Gyalshing Rural,Sikkim,2023-06-27,Monsoon,6,122.9,926.7,428.6,31.2,36.9,28.5,94.1,5.3,S,1008.6,26.3,8.7,Low,No,WS_4706,IMD
Singtam Village,Sikkim,2023-06-27,Monsoon,6,60.6,367.6,488.7,27.6,32.8,22.8,92.4,5.6,N,1003.6,21.1,8.8,Low,No,WS_7334,IMD
Champhai Rural,Mizoram,2023-06-27,Monsoon,6,85.1,485.5,664.5,25.8,32.9,20.8,76.6,10.1,W,1004.6,17.3,8.1,Medium,Mild,WS_6195,IMD
Mokokchung Rural,Nagaland,2023-06-28,Monsoon,6,148.8,914.5,797.7,31.5,38.1,29.1,88.6,12.7,SW,1003.9,23.2,5.0,Medium,No,WS_8658,Local Station
Bomdila Rural,Arunachal Pradesh,2023-06-28,Monsoon,6,118.1,907.0,387.3,22.8,28.8,17.0,84.9,22.5,SE,1014.1,23.6,3.7,Low,No,WS_1212,Local Station
Ukhrul Village,Manipur,2023-06-28,Monsoon,6,66.0,376.3,494.5,25.7,29.4,22.9,76.9,11.4,E,1005.0,19.4,2.0,Medium,No,WS_7584,IMD
Nagaon Rural,Assam,2023-06-28,Monsoon,6,151.5,1089.8,725.0,27.7,31.8,23.6,90.6,3.5,NW,1003.3,16.3,11.1,Low,No,WS_2824,IMD
Mokokchung Rural,Nagaland,2023-06-28,Monsoon,6,131.9,970.7,455.0,28.6,33.8,25.9,87.5,15.7,NE,1006.1,26.2,11.8,High,No,WS_9139,IMD
Karimganj Village,Assam,2023-06-28,Monsoon,6,118.0,988.3,668.6,24.2,30.7,19.1,93.2,13.2,SE,1010.2,18.4,2.2,Medium,Mild,WS_4019,IMD
Tezpur Village,Arunachal Pradesh,2023-06-28,Monsoon,6,122.3,688.2,303.9,27.4,31.3,23.3,85.4,10.2,NW,1000.3,24.4,9.1,Low,Mild,WS_3889,IMD
Pasighat Rural,Arunachal Pradesh,2023-06-29,Monsoon,6,116.2,753.0,553.0,24.6,27.1,18.9,83.8,11.0,SW,1003.0,25.8,5.3,Medium,No,WS_8568,Local Station
Kailashahar Village,Tripura,2023-06-29,Monsoon,6,115.5,786.5,732.1,27.8,33.8,22.3,90.6,5.3,S,1018.5,16.7,9.5,Low,No,WS_8298,IMD
Tawang Rural,Arunachal Pradesh,2023-06-29,Monsoon,6,48.6,347.6,724.3,23.4,31.4,20.4,94.1,5.3,E,1009.1,25.5,6.1,Medium,No,WS_3758,Satellite
Roing Village,Arunachal Pradesh,2023-06-29,Monsoon,6,193.8,1556.5,375.9,25.3,29.9,22.6,79.5,19.6,S,1017.9,24.2,3.6,Low,Mild,WS_2931,IMD
Pakyong Village,Sikkim,2023-06-29,Monsoon,6,52.1,416.6,495.4,22.1,29.8,16.2,83.1,8.5,SW,1015.3,25.2,9.0,Low,No,WS_7408,IMD
Roing Village,Arunachal Pradesh,2023-06-29,Monsoon,6,71.8,588.1,500.1,28.1,34.4,23.5,81.2,13.3,E,1018.2,24.3,9.1,Low,Moderate,WS_2353,IMD
Khowai Village,Tripura,2023-06-29,Monsoon,6,113.1,661.2,561.5,22.8,24.9,17.8,83.8,15.9,W,1004.7,16.3,7.6,Medium,No,WS_5365,IMD
Teliamura Rural,Tripura,2023-06-30,Monsoon,6,96.7,559.8,385.6,26.0,33.3,22.3,75.3,24.3,S,1003.0,29.4,7.1,Medium,No,WS_3005,Local Station
Churachandpur Village,Manipur,2023-06-30,Monsoon,6,83.0,590.2,627.4,25.1,28.7,19.3,79.8,13.0,NE,1006.4,15.1,2.7,Low,No,WS_9466,IMD
Serchhip Village,Mizoram,2023-06-30,Monsoon,6,81.9,540.6,532.3,27.1,33.2,21.7,85.6,17.7,N,1007.2,26.8,3.7,Low,No,WS_4788,IMD
Serchhip Village,Mizoram,2023-06-30,Monsoon,6,114.5,822.9,455.7,26.6,32.5,24.1,86.5,5.4,SE,1017.0,20.2,6.9,Low,Severe,WS_4524,IMD
Amarpur Village,Tripura,2023-06-30,Monsoon,6,79.7,514.3,656.7,25.0,31.0,19.7,90.6,22.9,SE,1003.7,20.5,7.3,Medium,No,WS_7939,IMD
Ziro Village,Arunachal Pradesh,2023-06-30,Monsoon,6,58.0,461.0,520.6,23.4,27.4,20.0,82.8,18.0,N,1010.4,26.8,3.1,High,No,WS_1267,Local Station
Tuensang Village,Nagaland,2023-06-30,Monsoon,6,104.7,781.0,599.8,29.4,34.7,24.5,81.3,9.5,S,1001.4,19.0,6.9,High,Mild,WS_8085,Local Station
Pasighat Rural,Arunachal Pradesh,2023-07-01,Monsoon,7,187.6,1512.0,599.6,25.4,32.7,20.5,78.3,6.5,S,1002.9,17.4,8.2,High,Moderate,WS_6006,IMD
Namchi Village,Sikkim,2023-07-01,Monsoon,7,50.5,361.6,460.3,27.9,32.8,23.0,87.3,7.0,W,1015.2,16.4,4.7,Low,No,WS_7532,IMD
Jorethang Rural,Sikkim,2023-07-01,Monsoon,7,157.2,1203.2,763.3,22.5,28.6,16.8,84.9,9.5,NW,1007.3,16.5,5.9,Low,No,WS_6222,IMD
Itanagar Rural,Arunachal Pradesh,2023-07-01,Monsoon,7,54.6,409.8,647.4,26.5,30.8,21.4,94.6,17.6,W,1012.1,17.4,4.4,Low,No,WS_1778,Local Station
Serchhip Village,Mizoram,2023-07-01,Monsoon,7,117.4,790.5,525.9,28.4,31.8,23.6,76.2,20.9,N,1013.0,24.4,4.2,Medium,Mild,WS_8367,IMD
Dharmanagar Rural,Tripura,2023-07-01,Monsoon,7,124.6,1004.1,651.2,27.0,32.2,23.2,94.7,19.0,NW,1003.7,19.4,10.0,Medium,Mild,WS_7234,Local Station
Tawang Rural,Arunachal Pradesh,2023-07-01,Monsoon,7,82.3,663.7,526.2,28.5,30.8,24.2,78.0,9.9,NE,1003.2,23.0,3.9,Low,Mild,WS_9841,Local Station
Jiribam Village,Manipur,2023-07-02,Monsoon,7,82.8,634.0,587.6,30.5,34.3,26.8,84.1,18.4,NW,1003.7,29.5,8.2,Low,No,WS_6323,Local Station
Silchar Village,Assam,2023-07-02,Monsoon,7,58.7,422.2,400.7,29.9,37.9,25.8,82.2,10.6,S,1007.1,16.9,10.5,High,No,WS_6790,IMD
Pasighat Rural,Arunachal Pradesh,2023-07-02,Monsoon,7,123.7,949.0,514.8,31.0,37.6,26.8,78.1,14.9,N,1015.6,27.3,3.7,Low,No,WS_4549,Local Station
Mokokchung Rural,Nagaland,2023-07-02,Monsoon,7,57.3,415.9,766.4,23.8,26.0,18.0,88.2,2.9,W,1013.2,24.8,11.1,Medium,No,WS_7189,Local Station
Tezpur Village,Arunachal Pradesh,2023-07-02,Monsoon,7,76.0,616.5,509.8,25.8,33.3,20.2,86.8,8.3,S,1004.0,17.4,5.9,Medium,Mild,WS_1566,Local Station
Tamenglong Rural,Manipur,2023-07-02,Monsoon,7,123.8,903.9,501.0,23.9,27.7,21.5,78.2,17.5,W,1017.8,26.9,4.9,Low,No,WS_8885,Local Station
Amarpur Village,Tripura,2023-07-02,Monsoon,7,109.2,881.2,665.8,24.6,30.1,20.8,86.4,10.0,NW,1010.7,17.9,8.2,Low,No,WS_8901,IMD
Champhai Rural,Mizoram,2023-07-03,Monsoon,7,238.7,1357.4,488.4,28.2,33.6,25.0,90.8,21.4,NW,1012.0,21.9,8.6,Low,Mild,WS_5743,IMD
Singtam Village,Sikkim,2023-07-03,Monsoon,7,81.7,674.9,487.6,29.2,32.1,26.4,90.0,2.5,S,1018.8,16.5,6.7,Low,No,WS_6679,Local Station
Jorhat Village,Assam,2023-07-03,Monsoon,7,164.1,976.7,430.5,26.6,31.4,21.3,86.0,4.2,W,1018.6,25.4,10.7,High,No,WS_4356,Local Station
Tura Village,Meghalaya,2023-07-03,Monsoon,7,226.6,1312.1,320.5,24.8,28.7,22.1,90.6,24.6,NW,1008.2,16.4,11.2,Low,Moderate,WS_2080,IMD
Guwahati Rural,Assam,2023-07-03,Monsoon,7,198.9,1396.5,379.0,28.0,34.7,24.3,80.0,13.7,S,1005.4,18.7,9.9,Low,No,WS_5547,IMD
Barpeta Village,Assam,2023-07-03,Monsoon,7,109.3,685.8,441.3,22.0,26.1,17.0,85.5,24.3,SW,1013.9,29.3,3.3,Medium,No,WS_3231,IMD
Williamnagar Village,Meghalaya,2023-07-03,Monsoon,7,215.9,1452.7,643.1,31.5,37.6,28.2,75.7,7.7,SE,1009.1,26.7,5.6,Low,No,WS_3091,Local Station
Kailashahar Village,Tripura,2023-07-04,Monsoon,7,128.0,941.8,664.4,27.5,34.8,23.3,76.6,7.1,SE,1008.6,20.9,10.3,Low,No,WS_4070,Local Station
Churachandpur Village,Manipur,2023-07-04,Monsoon,7,62.7,494.2,767.9,26.3,29.1,21.5,84.4,24.7,S,1008.9,22.0,10.3,Medium,No,WS_8281,Satellite
